,nr,name,y,x,google map
432,433,Thorikos,37.7,24.05,"http://maps.google.com/maps?ll=37.7,24.05&spn=0.01,0.01&t=h&q=37.7,24.05"
433,434,Rusman,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
434,435,Gradiste,43.70363,21.746307,"http://maps.google.com/maps?ll=43.70363,21.746307&spn=0.01,0.01&t=h&q=43.70363,21.746307"
435,436,Valakonje,43.881032,22.000131,"http://maps.google.com/maps?ll=43.881032,22.000131&spn=0.01,0.01&t=h&q=43.881032,22.000131"
436,437,Lukovo,43.802302,21.841408,"http://maps.google.com/maps?ll=43.802302,21.841408&spn=0.01,0.01&t=h&q=43.802302,21.841408"
437,438,Gorni Lom,43.48357,22.745145,"http://maps.google.com/maps?ll=43.48357,22.745145&spn=0.01,0.01&t=h&q=43.48357,22.745145"
438,439,Zlot,44.015644,21.975555,"http://maps.google.com/maps?ll=44.015644,21.975555&spn=0.01,0.01&t=h&q=44.015644,21.975555"
439,440,Bor,44.078333,22.095278,"http://maps.google.com/maps?ll=44.078333,22.095278&spn=0.01,0.01&t=h&q=44.078333,22.095278"
440,441,Janjevo,42.58363,21.25634,"http://maps.google.com/maps?ll=42.58363,21.25634&spn=0.01,0.01&t=h&q=42.58363,21.25634"
441,442,Lece,42.9042,21.5239,"http://maps.google.com/maps?ll=42.9042,21.5239&spn=0.01,0.01&t=h&q=42.9042,21.5239"
442,443,Novo Brdo,42.616123,21.435097,"http://maps.google.com/maps?ll=42.616123,21.435097&spn=0.01,0.01&t=h&q=42.616123,21.435097"
443,444,Agrokipia,35.044444,33.155,"http://maps.google.com/maps?ll=35.044444,33.155&spn=0.01,0.01&t=h&q=35.044444,33.155"
444,445,Apliki,34.930833,33.116944,"http://maps.google.com/maps?ll=34.930833,33.116944&spn=0.01,0.01&t=h&q=34.930833,33.116944"
445,446,Asproyia,34.921944,32.615556,"http://maps.google.com/maps?ll=34.921944,32.615556&spn=0.01,0.01&t=h&q=34.921944,32.615556"
446,447,Ayios Mamas,34.85,32.95,"http://maps.google.com/maps?ll=34.85,32.95&spn=0.01,0.01&t=h&q=34.85,32.95"
447,448,Kalavassos,34.916667,33.633333,"http://maps.google.com/maps?ll=34.916667,33.633333&spn=0.01,0.01&t=h&q=34.916667,33.633333"
448,449,Kambia,34.825,32.741667,"http://maps.google.com/maps?ll=34.825,32.741667&spn=0.01,0.01&t=h&q=34.825,32.741667"
449,450,Kinousa,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
450,451,Limni,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
451,452,Mathiatis,34.962778,33.336111,"http://maps.google.com/maps?ll=34.962778,33.336111&spn=0.01,0.01&t=h&q=34.962778,33.336111"
452,453,Mavrovouni,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
453,454,Mazokambos,0.0,0.0,"http://maps.google.com/maps?ll=0.0,0.0&spn=0.01,0.01&t=h&q=0.0,0.0"
454,455,Mitsero,35.042222,33.126944,"http://maps.google.com/maps?ll=35.042222,33.126944&spn=0.01,0.01&t=h&q=35.042222,33.126944"
455,456,Sha,34.954722,33.39,"http://maps.google.com/maps?ll=34.954722,33.39&spn=0.01,0.01&t=h&q=34.954722,33.39"
456,457,Skouriotissa,35.091111,32.884722,"http://maps.google.com/maps?ll=35.091111,32.884722&spn=0.01,0.01&t=h&q=35.091111,32.884722"
457,458,Troulli,35.030848,33.616178,"http://maps.google.com/maps?ll=35.030848,33.616178&spn=0.01,0.01&t=h&q=35.030848,33.616178"
458,459,Poço das Freitas,41.791607,-7.742692,"http://maps.google.com/maps?ll=41.791607,-7.742692&spn=0.01,0.01&t=h&q=41.791607,-7.742692"
459,460,Trincheiras,41.766238,-7.586093,"http://maps.google.com/maps?ll=41.766238,-7.586093&spn=0.01,0.01&t=h&q=41.766238,-7.586093"
460,461,Serra de Santa Justa,41.244628,-8.57505,"http://maps.google.com/maps?ll=41.244628,-8.57505&spn=0.01,0.01&t=h&q=41.244628,-8.57505"
461,462,Três Minas,41.4833,-7.5167,"http://maps.google.com/maps?ll=41.4833,-7.5167&spn=0.01,0.01&t=h&q=41.4833,-7.5167"
462,463,Jales,41.238762,-8.412027,"http://maps.google.com/maps?ll=41.238762,-8.412027&spn=0.01,0.01&t=h&q=41.238762,-8.412027"
463,464,Serra de Banjas,41.238762,-8.412027,"http://maps.google.com/maps?ll=41.238762,-8.412027&spn=0.01,0.01&t=h&q=41.238762,-8.412027"
